id;teams;teams_5_a;teams_5_b;teams_6_a;teams_6_b
1;5;1;0;0;0
2;6;0;0;1;0
3;7;-1;0;0;0
4;8;-1;0;0;0
5;9;-1;0;0;0
6;10;2;0;0;0
7;11;-1;0;0;0
8;12;0;0;2;0
9;13;-1;0;0;0
10;14;-1;0;0;0
11;15;3;0;0;0
12;16;2;0;1;0
13;17;1;0;2;0
14;18;0;0;3;0
15;19;-1;0;0;0
16;20;4;0;0;0
17;21;3;0;1;0
18;22;2;0;2;0
19;23;1;0;3;0
20;24;0;0;4;0
21;25;5;0;0;0
22;26;4;0;1;0
23;27;3;0;2;0
24;28;2;0;3;0
25;29;1;0;4;0
26;30;6;0;0;0
27;31;5;0;1;0
28;32;4;0;2;0
29;33;3;0;3;0
30;34;2;0;4;0
31;35;1;7;5;0
32;36;0;6;6;1
33;37;5;0;2;0
34;38;4;0;3;0
35;39;3;0;4;0
36;40;8;0;0;0
37;41;7;0;1;0
38;42;6;0;2;7
39;43;5;0;3;0
40;44;4;0;4;0
41;45;3;9;5;0
42;46;2;8;6;1
43;47;1;7;7;2
44;48;0;6;8;3
45;49;5;0;4;0
46;50;10;0;0;0
47;51;9;0;1;0
48;52;0;0;2;0
49;53;7;0;3;0
50;54;6;0;4;0
51;55;11;0;0;0
52;56;10;0;1;0
53;57;9;0;2;0
54;58;8;0;3;0
55;59;7;0;4;0
56;60;12;0;0;0
